Feature_1,Feature_2
54.96714153011233,31.788936801741418
48.61735698828815,32.803922631841175
56.47688538100692,35.41525621587638
65.23029856408026,35.26901026017451
47.658466252766644,23.111653160214544
47.6586304305082,25.310874800424386
65.79212815507391,32.5751763360433
57.67434729152909,32.56892975456105
45.30525614065048,32.57523843153024
55.42560043585965,49.26365745327361
45.365823071875376,32.85445255346583
45.34270246429743,35.677828200902994
52.41962271566034,34.770008817466014
30.86719755342202,33.25695625652899
32.75082167486967,28.42365377679827
44.37712470759027,33.79484610246634
39.87168879665576,26.13587392731214
53.142473325952736,28.815906966299956
40.91975924478789,27.573182260854484
35.87696298664709,30.409370696931614
64.65648768921554,41.573292833367546
47.74223699513465,20.66367403704126
50.67528204687924,33.431300951872565
35.75251813786544,21.936420644051744
44.556172754748175,27.640340671052833
51.10922589709866,35.44475298483683
38.490064225776976,30.321400095477316
53.75698018345672,24.61127611035347
43.99361310081195,26.42348145370016
47.083062502067236,33.39798874467338
43.98293387770603,26.34816684141432
68.52278184508938,31.082292947909874
49.86502775262066,30.22785919951907
39.422890710440996,26.741998261970913
58.225449121031886,40.719720446626624
37.791563500289776,33.169595111590056
52.08863595004755,19.874287066711965
30.403298761202244,30.93227157384714
36.71813951101569,26.69106767615806
51.96861235869123,34.26216667398112
57.38466579995411,26.037396307836495
51.7136828118997,29.426317792665504
48.843517176117594,32.524936394902284
46.98896304410711,34.32877597085061
35.214780096325725,23.998517964721117
42.801557916052914,28.327493820795258
45.393612290402125,27.62527344419522
60.57122226218915,26.73335383713144
53.43618289568462,38.82727120140548
32.36959844637266,32.024908554804774
53.24083969394795,23.695580228324772
46.149177195836835,34.58930973527388
43.23077999694041,40.610780985063165
56.11676288840868,35.16232630275574
60.30999522495951,22.403150170229935
59.31280119116199,27.578829635668743
41.607824767773614,36.334555745933116
46.907876241487855,26.461652671906094
53.31263431403564,32.219097140731144
59.75545127122359,33.87317026714668
45.2082576215471,25.365347642109583
48.14341023336183,29.702373219691
38.93665025993972,13.793663299654636
38.037933759193294,24.878061793328552
58.125258223941984,28.7371592430342
63.56240028570823,23.761084090175753
49.27989878419666,38.16205651965818
60.03532897892024,22.849293110196836
53.61636025047634,27.799777566515083
43.54880245394876,30.653702886430455
53.61395605508414,37.20636644533058
65.38036566465969,22.8206892441028
49.64173960890049,35.815818760774796
65.64643655814007,30.051165305097935
23.802548959102555,25.092456744760245
58.21902504375224,32.31051737131635
50.870470682381715,30.99529847786735
47.009926495341325,26.998915614206027
50.91760776535502,30.349010424950094
30.124310853991073,28.0734320156912
47.80328112162488,30.56758672625624
53.57112571511746,33.31065337260523
64.77894044741517,37.93008408072676
44.81729781726352,23.810922505865754
41.91506397106812,40.665166873281336
44.982429564154636,20.23956100238749
59.15402117702074,29.241074524822082
53.287511096596845,32.94158603242288
44.70239796232961,31.404959338675162
55.13267433113356,26.88650240089703
50.9707754934804,28.959388748213623
59.68644990532889,27.534995326705836
42.979469061226474,27.053176215278942
46.723378534022316,34.24801048510513
46.078918468678424,31.785077429825236
35.364850518678814,26.535452023696728
52.96120277064576,34.49799937716625
52.610552721798896,31.536497604383047
50.05113456642461,34.0643105941948
47.65412866624853,33.14814420961806
35.84629257949586,25.855024945389637
45.79354677234641,27.199094799015153
46.572854834732304,33.73646802561631
41.97722730778381,33.05185132716733
48.387142883339905,29.89549203017926
54.040508568145384,30.58663691654391
68.8618590121053,36.388324478942124
51.74577812831839,27.04214305582085
52.57550390722764,32.73548690585019
49.25554084233833,28.98903673783053
30.812287847009586,28.9115939838639
49.73486124550783,35.49388425993595
50.60230209941027,34.12708174494015
74.63242112485287,34.06754818000319
48.076390352188774,36.52739403577164
53.015473423336125,30.105019208163796
49.65288230294757,33.40976485647482
38.31321962380468,28.44866621703272
61.42822814515021,31.62083176244221
57.519330326867745,29.349284728161578
57.910319470430466,30.48497982496359
40.906125452052606,32.975785127184565
64.02794310936099,25.908896583832636
35.98148937207719,40.4619363784273
55.868570938002705,24.96991309250149
71.90455625809979,23.92905693606134
40.09463674869312,35.79055436750034
44.33702270397228,33.95831346981468
50.99651365087641,33.12059908526078
44.96524345883801,33.1417275463214
34.493365689338674,29.938766135765427
50.68562974806027,25.51372814257084
39.37696286273895,30.37902279096863
54.73592430635182,26.61419144243944
40.80575765766197,34.87559866708875
65.4993440501754,29.264713092489306
42.16746707663763,25.872514016037442
